meeting_date,type
2015-12-16,scheduled
2016-01-27,scheduled
2016-03-16,scheduled
2016-04-27,scheduled
2016-06-15,scheduled
2016-07-27,scheduled
2016-09-21,scheduled
2016-11-02,scheduled
2016-12-14,scheduled
2017-02-01,scheduled
2017-03-15,scheduled
2017-05-03,scheduled
2017-06-14,scheduled
2017-07-26,scheduled
2017-09-20,scheduled
2017-11-01,scheduled
2017-12-13,scheduled
2018-01-31,scheduled
2018-03-21,scheduled
2018-05-02,scheduled
2018-06-13,scheduled
2018-08-01,scheduled
2018-09-26,scheduled
2018-11-08,scheduled
2018-12-19,scheduled
2019-01-30,scheduled
2019-03-20,scheduled
2019-05-01,scheduled
2019-06-19,scheduled
2019-07-31,scheduled
2019-09-18,scheduled
2019-10-30,scheduled
2019-12-11,scheduled
2020-01-29,scheduled
2020-03-03,emergency
2020-03-15,emergency
2020-03-18,scheduled
2020-04-29,scheduled
2020-06-10,scheduled
2020-07-29,scheduled
2020-09-16,scheduled
2020-11-05,scheduled
2020-12-16,scheduled
2021-01-27,scheduled
2021-03-17,scheduled
2021-04-28,scheduled
2021-06-16,scheduled
2021-07-28,scheduled
2021-09-22,scheduled
2021-11-03,scheduled
2021-12-15,scheduled
2022-01-26,scheduled
2022-03-16,scheduled
2022-05-04,scheduled
2022-06-15,scheduled
2022-07-27,scheduled
2022-09-21,scheduled
2022-11-02,scheduled
2022-12-14,scheduled
2023-02-01,scheduled
2023-03-22,scheduled
2023-05-03,scheduled
2023-06-14,scheduled
2023-07-26,scheduled
2023-09-20,scheduled
2023-11-01,scheduled
2023-12-13,scheduled
2024-01-31,scheduled
2024-03-20,scheduled
2024-05-01,scheduled
2024-06-12,scheduled
2024-07-31,scheduled
2024-09-18,scheduled
2024-11-07,scheduled
2024-12-18,scheduled
2025-01-29,scheduled
2025-03-19,scheduled
2025-05-07,scheduled
2025-06-18,scheduled
2025-07-30,scheduled
2025-09-17,scheduled
2025-10-29,scheduled
2025-12-10,scheduled
