ticker,date,factor,label,source,status
AA,2016-10-06,3.0,1:3,feed,CONFIRMED
AAPL,2014-06-09,0.142857,7:1,feed,CONFIRMED
AAPL,2020-08-31,0.25,4:1,feed,CONFIRMED
ALK,2014-07-10,0.5,2:1,feed,CONFIRMED
AMSC,2015-03-25,10.0,1:10,feed,CONFIRMED
AMZN,2022-06-06,0.05,20:1,feed,CONFIRMED
ANET,2021-11-18,0.25,4:1,feed,CONFIRMED
ANET,2024-12-04,0.25,4:1,feed,CONFIRMED
APH,2014-10-10,0.5,2:1,feed,FEED_ONLY
APH,2021-03-05,0.5,2:1,feed,CONFIRMED
APH,2024-06-12,0.5,2:1,feed,CONFIRMED
ASST,2026-02-06,20.0,1:20,feed,FEED_ONLY
AVGO,2024-07-15,0.1,10:1,feed,CONFIRMED
AZN,2015-07-27,0.5,2:1,feed,CONFIRMED
AZN,2026-02-02,2.0,1:2,feed,CONFIRMED
BKNG,2026-04-06,0.04,25:1,feed,CONFIRMED
BNO,2013-08-29,0.5,2:1,feed,CONFIRMED
BOIL,2015-05-20,4.0,1:4,feed,CONFIRMED
BOIL,2018-03-20,5.0,1:5,feed,CONFIRMED
BOIL,2020-04-21,10.0,1:10,feed,FEED_ONLY
BOIL,2023-06-23,20.0,1:20,feed,CONFIRMED
BOIL,2024-11-07,5.0,1:5,feed,CONFIRMED
BOIL,2026-05-28,2.0,1:2,feed,CONFIRMED
BWA,2013-12-17,0.5,2:1,feed,CONFIRMED
CELH,2023-11-15,0.333333,3:1,feed,CONFIRMED
CF,2015-06-18,0.2,5:1,feed,CONFIRMED
CL,2013-05-16,0.5,2:1,feed,CONFIRMED
CMCSA,2017-02-21,0.5,2:1,feed,CONFIRMED
CMG,2024-06-26,0.02,50:1,feed,CONFIRMED
CNC,2015-02-20,0.5,2:1,feed,CONFIRMED
CNC,2019-02-07,0.5,2:1,feed,CONFIRMED
CNQ,2024-06-11,0.5,2:1,feed,CONFIRMED
CPRT,2017-04-11,0.5,2:1,feed,CONFIRMED
CPRT,2022-11-04,0.5,2:1,feed,CONFIRMED
CPRT,2023-08-22,0.5,2:1,feed,CONFIRMED
CRM,2013-04-18,0.25,4:1,feed,CONFIRMED
CSX,2021-06-29,0.333333,3:1,feed,CONFIRMED
CTAS,2024-09-12,0.25,4:1,feed,CONFIRMED
CTSH,2014-03-10,0.5,2:1,feed,CONFIRMED
CVNA,2026-05-08,0.2,5:1,feed,CONFIRMED
